stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location,Wards,Census Tracts,Zip Codes,Community Areas,Historical Wards 2003-2015
4607,CICERO,ARCHER,"47,54B,N62",115.3,193.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79829161', 'longitude': '-87.74305748'}",6,173,22268,53,35
4608,CICERO,55TH STREET,"47,54B,62,62H",8.0,24.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79339249', 'longitude': '-87.7424151'}",6,173,22268,53,35
4611,CICERO,61ST STREET,"54B,63,63W,165",4.1,1.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.78223443', 'longitude': '-87.74258776'}",6,86,22268,62,35
4612,CICERO,63RD STREET,"54B,63W,165",264.2,72.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77858943', 'longitude': '-87.74245896'}",6,86,22268,62,35
4613,CICERO,ARCHER,47,43.5,1.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79784069', 'longitude': '-87.74329777'}",6,173,22268,53,35
4614,HALSTED,CERMAK,"8,N62",58.1,144.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.85251145', 'longitude': '-87.64640579'}",48,126,14920,33,8
4615,HALSTED,18TH STREET (south leg),"8,N62",207.7,141.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.85742006', 'longitude': '-87.64654483'}",48,249,21194,33,8
4618,HALSTED,POLK,8,177.7,757.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87178', 'longitude': '-87.646879'}",48,97,14917,29,48
4623,FRANKLIN,RANDOLPH,11,15.7,0.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.884327', 'longitude': '-87.635278'}",36,92,14914,38,22
4626,ORLEANS,MERCHANDISE MART,"11,125",49.6,97.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.888552', 'longitude': '-87.636751'}",36,652,4446,37,22
4627,ORLEANS,HUBBARD,"11,125",43.0,43.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.889821', 'longitude': '-87.636893'}",36,652,4446,37,22
4628,WELLS,MERCHANDISE MART,"11,125",53.1,78.2,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.888724', 'longitude': '-87.63409'}",36,652,4446,37,22
4630,WELLS,LAKE,11,4.2,70.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.885798', 'longitude': '-87.63398'}",36,92,14914,38,22
4632,WELLS,WASHINGTON,11,2.7,67.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.883333', 'longitude': '-87.63392'}",36,92,14914,38,22
4633,WELLS,MADISON,11,1.7,91.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.882043', 'longitude': '-87.633892'}",36,92,14914,38,22
4634,WELLS,MONROE,11,0.8,67.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.880771', 'longitude': '-87.633875'}",36,92,14914,38,48
4635,WELLS,ADAMS,11,3.2,69.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.879472', 'longitude': '-87.633809'}",36,92,14914,38,48
4638,HALSTED,HARRISON,8,502.1,173.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.87383531', 'longitude': '-87.64725505'}",48,97,14917,29,8
4639,HALSTED,POLK,8,571.2,130.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.8719', 'longitude': '-87.64719'}",48,97,14917,29,8
4640,HALSTED,TAYLOR,8,174.3,111.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.869851', 'longitude': '-87.647125'}",48,97,14917,29,8
4642,HALSTED,18TH STREET (north leg),"8,N62",38.3,84.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.85821314', 'longitude': '-87.64671657'}",48,250,14920,33,8
4644,HALSTED,ARCHER,"8,N62",166.7,208.1,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.84731373', 'longitude': '-87.64658436'}",48,59,14920,58,26
4646,63RD STREET,76TH AVENUE,"62H,63W",60.6,0.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77697496', 'longitude': '-87.8107509'}",,,2733,,
4647,63RD STREET,75TH AVENUE,"62H,63W",54.6,1.4,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77704903', 'longitude': '-87.80836483'}",,,2733,,
4648,63RD STREET,74TH AVENUE,"62H,63W",45.0,0.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77706151', 'longitude': '-87.80583606'}",,,2733,,
4649,63RD STREET,73RD AVENUE,"62H,63W",15.7,0.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77713808', 'longitude': '-87.80338469'}",,,2733,,
4650,63RD STREET,HARLEM,63W,46.7,6.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77713168', 'longitude': '-87.80122382'}",,,2733,,
4651,63RD STREET,NOTTINGHAM,63W,26.1,0.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.7772463', 'longitude': '-87.79857285'}",6,336,22268,62,35
4652,63RD STREET,SAYRE,63W,19.4,0.9,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77734954', 'longitude': '-87.79612937'}",6,336,22268,62,35
4653,63RD STREET,NEW ENGLAND,63W,11.5,1.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77741612', 'longitude': '-87.79371969'}",6,336,22268,62,35
4654,63RD STREET,OAK PARK,63W,51.2,2.8,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77745956', 'longitude': '-87.7911602'}",6,336,22268,62,35
4655,63RD STREET,NORMANDY,63W,29.8,1.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77749456', 'longitude': '-87.7887432'}",6,336,22268,62,35
4656,63RD STREET,NASHVILLE,63W,32.8,2.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.7775454', 'longitude': '-87.78629762'}",6,336,22268,62,35
4657,63RD STREET,NATCHEZ,63W,26.2,8.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.7775804', 'longitude': '-87.78386762'}",6,336,22268,62,35
4658,NARRAGANSETT,63RD STREET,55N,39.4,0.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.77771859', 'longitude': '-87.78109719'}",15,265,22268,62,35
4659,NARRAGANSETT,62ND STREET,55N,15.9,0.7,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.779411', 'longitude': '-87.781256'}",15,265,22268,62,35
4660,NARRAGANSETT,61ST STREET,55N,9.4,0.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.781248', 'longitude': '-87.781323'}",15,265,22268,62,35
4661,NARRAGANSETT,60TH STREET,55N,14.3,0.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.783084', 'longitude': '-87.781393'}",15,265,22268,62,35
4662,NARRAGANSETT,59TH STREET,55N,16.0,0.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.784915', 'longitude': '-87.781457'}",15,265,22268,62,35
4663,NARRAGANSETT,58TH STREET,55N,14.3,2.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.786751', 'longitude': '-87.781524'}",15,590,22268,53,35
4664,NARRAGANSETT,57TH STREET,55N,15.6,1.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.788602', 'longitude': '-87.781592'}",15,590,22268,53,35
4665,NARRAGANSETT,56TH STREET,55N,23.7,5.3,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.790425', 'longitude': '-87.781659'}",15,590,22268,53,35
4666,NARRAGANSETT,55TH STREET,55N,17.3,12.5,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79215692', 'longitude': '-87.78170105'}",15,590,22268,53,35
4667,NARRAGANSETT,55TH STREET,55N,6.6,20.0,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79207174', 'longitude': '-87.78186961'}",15,589,22268,53,35
4668,NARRAGANSETT,56TH STREET,55N,5.6,40.6,2012-10-01T00:00:00.000,Weekday,"{'latitude': '41.79059', 'longitude': '-87.781804'}",15,589,22268,53,35
