,Country / Dependency,Population,% of world,Date,Source (official or from the United Nations)
232,"Saint Helena, Ascension and Tristan da Cunha (UK)",5651,7.001553450312511e-05,1 Jul 2021,2021 Census
233,Montserrat (UK),4433,5.492459112588102e-05,1 Jul 2022,Official figure
234,Falkland Islands (UK),3662,4.537194962846296e-05,10 Oct 2021,2021 census result
235,Norfolk Island (Australia),2188,2.7109182355837506e-05,1 Jan 2021,2021 Census
236,Christmas Island (Australia),1692,2.0963773558536135e-05,1 Jan 2021,2021 Census 
237,Tokelau (NZ),1647,2.040622638942613e-05,1 Jan 2019,2019 Census 
238,Niue,1549,1.9192012554475456e-05,1 Jul 2021,National annual projection
239,Vatican City,764,9.465911937778726e-06,26 Jun 2023,Official figure
240,Cocos (Keeling) Islands (Australia),593,7.347232695160714e-06,30 Jun 2020,2021 Census
241,Pitcairn Islands (UK),47,5.823270432926704e-07,1 Jul 2021,Official estimate
